Facility Name,RHUnit,FY,Avg Population
Faribault,Faribault,FY19,1994
Lino Lakes,Lino Lakes,FY19,1289
Moose Lake,Moose Lake,FY19,1056
Oak Park Heights,Oak Park Heights - ACU,FY19,385
Oak Park Heights,Oak Park Heights - CX5,FY19,385
Red Wing,Red Wing,FY19,45
Rush City,Rush City,FY19,1010
Shakopee,Shakopee,FY19,624
St. Cloud,St. Cloud,FY19,1034
Stillwater,Stillwater,FY19,1554
Togo,Togo,FY19,66
Willow River,Willow River,FY19,139
Faribault,Faribault,FY20,1894
Lino Lakes,Lino Lakes,FY20,1229
Moose Lake,Moose Lake,FY20,1014
Oak Park Heights,Oak Park Heights - ACU,FY20,379
Oak Park Heights,Oak Park Heights - CX5,FY20,379
Red Wing,Red Wing,FY20,41
Rush City,Rush City,FY20,991
Shakopee,Shakopee,FY20,560
St. Cloud,St. Cloud,FY20,893
Stillwater,Stillwater,FY20,1476
Togo,Togo,FY20,62
Willow River,Willow River,FY20,106
Faribault,Faribault,FY21,1681
Lino Lakes,Lino Lakes,FY21,1035
Moose Lake,Moose Lake,FY21,880
Oak Park Heights,Oak Park Heights - ACU,FY21,362
Oak Park Heights,Oak Park Heights - CX5,FY21,362
Red Wing,Red Wing,FY21,31
Rush City,Rush City,FY21,910
Shakopee,Shakopee,FY21,424
St. Cloud,St. Cloud,FY21,662
Stillwater,Stillwater,FY21,1316
Togo,Togo,FY21,62
Willow River,Willow River,FY21,98
Faribault,Faribault,FY22,1761
Lino Lakes,Lino Lakes,FY22,909
Moose Lake,Moose Lake,FY22,871
Oak Park Heights,Oak Park Heights - ACU,FY22,353
Oak Park Heights,Oak Park Heights - CX5,FY22,353
Red Wing,Red Wing,FY22,30
Rush City,Rush City,FY22,892
Shakopee,Shakopee,FY22,432
St. Cloud,St. Cloud,FY22,730
Stillwater,Stillwater,FY22,1205
Togo,Togo,FY22,67
Willow River,Willow River,FY22,111
