ID,RHUnit,RHUnitSecurity,SegStartDate,SegEndDate,AgeAtSegAdm,AgeCat,FY,Gender,Race,BirthCountryName,CitizenCountryName,SegDays
1227475171,Faribault,Medium,2018-07-01,2018-07-03,38,4_36-44,FY19,M,White,United States of America,United States of America,2
98196736,Moose Lake,Medium,2018-07-03,2018-07-05,34,3_27-35,FY19,M,Black,United States of America,United States of America,2
1004396156,St. Cloud,Close,2018-07-03,2018-07-05,51,5_45-60,FY19,M,Black,United States of America,United States of America,2
1797292787,St. Cloud,Close,2018-07-02,2018-07-05,27,3_27-35,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,3
1725835881,St. Cloud,Close,2018-07-05,2018-07-06,25,2_21-26,FY19,M,Black,United States of America,United States of America,1
156474876,St. Cloud,Close,2018-07-01,2018-07-06,49,5_45-60,FY19,M,Black,United States of America,United States of America,5
1145037784,St. Cloud,Close,2018-07-03,2018-07-06,43,4_36-44,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,3
1517439919,Faribault,Medium,2018-07-04,2018-07-06,52,5_45-60,FY19,M,Black,United States of America,United States of America,2
1915795166,Faribault,Medium,2018-07-02,2018-07-07,50,5_45-60,FY19,M,Black,United States of America,United States of America,5
332197493,Faribault,Medium,2018-07-02,2018-07-07,26,2_21-26,FY19,M,White,United States of America,United States of America,5
954684667,Stillwater,Close,2018-07-02,2018-07-07,44,4_36-44,FY19,M,White,United States of America,United States of America,5
914436718,St. Cloud,Close,2018-07-02,2018-07-07,37,4_36-44,FY19,M,Black,United States of America,United States of America,5
719387046,Stillwater,Close,2018-07-01,2018-07-08,26,2_21-26,FY19,M,Black,Ethiopia,United States of America,7
2127902915,Oak Park Heights - CX5,Maximum,2018-07-01,2018-07-08,28,3_27-35,FY19,M,Black,United States of America,United States of America,7
436108750,Stillwater,Close,2018-07-01,2018-07-08,20,1_14-20,FY19,M,Black,United States of America,United States of America,7
1097144830,Stillwater,Close,2018-07-01,2018-07-08,33,3_27-35,FY19,M,White,United States of America,United States of America,7
642118820,Faribault,Medium,2018-07-04,2018-07-09,27,3_27-35,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,5
1887424906,St. Cloud,Close,2018-07-06,2018-07-09,30,3_27-35,FY19,M,Black,United States of America,United States of America,3
29675807,Moose Lake,Medium,2018-07-04,2018-07-09,23,2_21-26,FY19,M,White,United States of America,United States of America,5
1983469382,St. Cloud,Close,2018-07-06,2018-07-09,58,5_45-60,FY19,M,White,United States of America,United States of America,3
1681365353,Moose Lake,Medium,2018-07-01,2018-07-09,41,4_36-44,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,8
15758319,St. Cloud,Close,2018-07-06,2018-07-09,23,2_21-26,FY19,M,Black,United States of America,United States of America,3
286540555,St. Cloud,Close,2018-07-06,2018-07-09,40,4_36-44,FY19,M,White,United States of America,United States of America,3
240766426,St. Cloud,Close,2018-07-07,2018-07-09,57,5_45-60,FY19,M,Black,United States of America,United States of America,2
1969786133,Faribault,Medium,2018-07-05,2018-07-10,51,5_45-60,FY19,M,White,United States of America,United States of America,5
1804759469,Oak Park Heights - CX5,Maximum,2018-07-03,2018-07-10,32,3_27-35,FY19,M,Black,United States of America,United States of America,7
2052595629,St. Cloud,Close,2018-07-03,2018-07-10,20,1_14-20,FY19,M,Black,United States of America,United States of America,7
307604204,Rush City,Close,2018-07-03,2018-07-10,24,2_21-26,FY19,M,Black,United States of America,United States of America,7
1621993450,St. Cloud,Close,2018-07-03,2018-07-10,27,3_27-35,FY19,M,Black,United States of America,United States of America,7
2060241870,Stillwater,Close,2018-07-01,2018-07-11,21,2_21-26,FY19,M,Black,United States of America,United States of America,10
1206621229,Stillwater,Close,2018-07-05,2018-07-11,33,3_27-35,FY19,M,Black,United States of America,United States of America,6
1096868840,Stillwater,Close,2018-07-04,2018-07-11,54,5_45-60,FY19,M,White,United States of America,United States of America,7
1499661197,Stillwater,Close,2018-07-01,2018-07-11,31,3_27-35,FY19,M,Black,United States of America,United States of America,10
1503987369,Stillwater,Close,2018-07-01,2018-07-11,31,3_27-35,FY19,M,White,United States of America,United States of America,10
470343059,Stillwater,Close,2018-07-01,2018-07-11,20,1_14-20,FY19,M,Black,United States of America,United States of America,10
971743825,Faribault,Medium,2018-07-08,2018-07-11,44,4_36-44,FY19,M,White,United States of America,United States of America,3
844735023,Lino Lakes,Medium,2018-07-06,2018-07-11,27,3_27-35,FY19,M,White,Moldova,Moldova,5
910637275,Shakopee,All,2018-07-06,2018-07-11,34,3_27-35,FY19,F,American Indian or Alaskan Native,United States of America,United States of America,5
704144184,Moose Lake,Medium,2018-07-04,2018-07-12,51,5_45-60,FY19,M,White,United States of America,United States of America,8
394513027,Moose Lake,Medium,2018-07-04,2018-07-12,34,3_27-35,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,8
815257600,Lino Lakes,Medium,2018-07-02,2018-07-12,42,4_36-44,FY19,M,Black,United States of America,United States of America,10
579234123,Moose Lake,Medium,2018-07-06,2018-07-12,23,2_21-26,FY19,M,Black,United States of America,United States of America,6
1383866080,St. Cloud,Close,2018-07-05,2018-07-12,26,2_21-26,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,7
681675595,Faribault,Medium,2018-07-07,2018-07-12,18,1_14-20,FY19,M,Black,United States of America,United States of America,5
1996392423,Stillwater,Close,2018-07-05,2018-07-12,18,1_14-20,FY19,M,Black,United States of America,United States of America,7
818394572,Stillwater,Close,2018-07-02,2018-07-12,37,4_36-44,FY19,M,Black,United States of America,United States of America,10
1349111426,Stillwater,Close,2018-07-02,2018-07-12,33,3_27-35,FY19,M,White,United States of America,United States of America,10
91018165,Faribault,Medium,2018-07-02,2018-07-12,52,5_45-60,FY19,M,White,United States of America,United States of America,10
1542213203,Stillwater,Close,2018-07-02,2018-07-12,29,3_27-35,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,10
1040375274,St. Cloud,Close,2018-07-06,2018-07-13,38,4_36-44,FY19,M,Black,United States of America,United States of America,7
268501354,Shakopee,All,2018-07-08,2018-07-13,43,4_36-44,FY19,F,White,United States of America,United States of America,5
1463696937,Oak Park Heights - CX5,Maximum,2018-07-03,2018-07-13,44,4_36-44,FY19,M,White,United States of America,United States of America,10
1955549149,Lino Lakes,Medium,2018-07-06,2018-07-13,28,3_27-35,FY19,M,Black,Liberia,United States of America,7
855826175,Stillwater,Close,2018-07-06,2018-07-13,45,5_45-60,FY19,M,White,United States of America,United States of America,7
1767377119,Faribault,Medium,2018-07-03,2018-07-13,30,3_27-35,FY19,M,American Indian or Alaskan Native,United States of America,United States of America,10
1462913216,Stillwater,Close,2018-07-06,2018-07-13,30,3_27-35,FY19,M,White,United States of America,United States of America,7
1348462805,Stillwater,Close,2018-07-06,2018-07-13,43,4_36-44,FY19,M,White,United States of America,United States of America,7
1422550029,St. Cloud,Close,2018-07-09,2018-07-14,21,2_21-26,FY19,M,Black,United States of America,United States of America,5
1575188414,Faribault,Medium,2018-07-04,2018-07-14,41,4_36-44,FY19,M,White,United States of America,United States of America,10
